Id,Label,timeset,v_name,v_id,v_n_words,v_internallinks
n0,1;bildung;klafki;individual,,1;bildung;klafki;individual,1;bildung;klafki;individual,27,54
n1,2;education;meaning;perspective,,2;education;meaning;perspective,2;education;meaning;perspective,22,34
n2,3;subject;science;concrete,,3;subject;science;concrete,3;subject;science;concrete,11,16
n3,4;society;democracy;dewey,,4;society;democracy;dewey,4;society;democracy;dewey,14,16
n4,5;knowledge;thinking;personal,,5;knowledge;thinking;personal,5;knowledge;thinking;personal,12,17
n5,6;reflect;critical;value,,6;reflect;critical;value,6;reflect;critical;value,11,12
n6,7;know;employ;minds,,7;know;employ;minds,7;know;employ;minds,12,13
n7,8;human;develop;categorical,,8;human;develop;categorical,8;human;develop;categorical,11,13
n8,9;part;world;role,,9;part;world;role,9;part;world;role,5,6
n9,10;relate;tradition;criticism,,10;relate;tradition;criticism,10;relate;tradition;criticism,15,17
n10,11;culture;become;autonomy,,11;culture;become;autonomy,11;culture;become;autonomy,13,13
n11,12;scientific;formulate;include,,12;scientific;formulate;include,12;scientific;formulate;include,14,16
n12,13;self;create;subjective,,13;self;create;subjective,13;self;create;subjective,10,11
n13,14;relation;content;reflection,,14;relation;content;reflection,14;relation;content;reflection,9,10
n14,15;learn;free;according,,15;learn;free;according,15;learn;free;according,11,12
n15,16;citizen;educated;responsible,,16;citizen;educated;responsible,16;citizen;educated;responsible,9,9
n16,17;dimension;politics;explicit,,17;dimension;politics;explicit,17;dimension;politics;explicit,10,11
n17,18;idea;claims;connect,,18;idea;claims;connect,18;idea;claims;connect,11,12
n18,19;issue;history;center,,19;issue;history;center,19;issue;history;center,12,12
n19,20;problem;working;members,,20;problem;working;members,20;problem;working;members,8,8
n20,21;time;call;discourse,,21;time;call;discourse,21;time;call;discourse,12,12
n21,22;understanding;insight;professional,,22;understanding;insight;professional,22;understanding;insight;professional,9,10
n22,23;reason;division;threefold,,23;reason;division;threefold,23;reason;division;threefold,10,12
n23,24;moral;ideal;cognitive,,24;moral;ideal;cognitive,24;moral;ideal;cognitive,7,6
n24,25;school;high;teaching,,25;school;high;teaching,25;school;high;teaching,8,8
n25,26;question;environmental;sustainability,,26;question;environmental;sustainability,26;question;environmental;sustainability,9,9
n26,27;policy;associated;least,,27;policy;associated;least,27;policy;associated;least,10,9
n27,28;interesting;renewed;early,,28;interesting;renewed;early,28;interesting;renewed;early,7,6
n28,29;change;opportunity;challenge,,29;change;opportunity;challenge,29;change;opportunity;challenge,10,9
n29,30;instead;exist;order,,30;instead;exist;order,30;instead;exist;order,12,12
n30,31;made;ensure;authority,,31;made;ensure;authority,31;made;ensure;authority,11,11
n31,32;suggest;points;go,,32;suggest;points;go,32;suggest;points;go,9,8
n32,33;others;translate;guidance,,33;others;translate;guidance,33;others;translate;guidance,8,7
n33,34;see;however;present,,34;see;however;present,34;see;however;present,7,6
n34,35;responsibility;action;interaction,,35;responsibility;action;interaction,35;responsibility;action;interaction,9,8
n35,36;emphasise;sometimes;traditional,,36;emphasise;sometimes;traditional,36;emphasise;sometimes;traditional,9,11
n36,37;contemporary;structure;mean,,37;contemporary;structure;mean,37;contemporary;structure;mean,10,9
n37,38;personality;future;formed-forming,,38;personality;future;formed-forming,38;personality;future;formed-forming,7,6
n38,39;century;first;scandinavia,,39;century;first;scandinavia,39;century;first;scandinavia,8,8
n39,40;version;identify;radical,,40;version;identify;radical,40;version;identify;radical,9,8
n40,41;understand;always;everything,,41;understand;always;everything,41;understand;always;everything,7,6
n41,42;form;take;stand,,42;form;take;stand,42;form;take;stand,9,8
n42,43;learner;help;shape,,43;learner;help;shape,43;learner;help;shape,8,8
n43,44;largely;period;underwent,,44;largely;period;underwent,44;largely;period;underwent,9,8
n44,45;postmodern;late;modern,,45;postmodern;late;modern,45;postmodern;late;modern,4,5
n45,46;development;finally;technology,,46;development;finally;technology,46;development;finally;technology,5,4
n46,47;acquire;skill;legitimacy,,47;acquire;skill;legitimacy,47;acquire;skill;legitimacy,5,4
n47,48;like;justification;just,,48;like;justification;just,48;like;justification;just,9,9
n48,49;approach;still;benefit,,49;approach;still;benefit,49;approach;still;benefit,6,5
n49,50;establish;wellestablished;already,,50;establish;wellestablished;already,50;establish;wellestablished;already,4,3
n50,51;humanity;constitute;assumption,,51;humanity;constitute;assumption,51;humanity;constitute;assumption,6,5
n51,52;theory;formal;moment,,52;theory;formal;moment,52;theory;formal;moment,6,5
n52,53;instrumental;rather;manner,,53;instrumental;rather;manner,53;instrumental;rather;manner,7,6
n53,54;main;aim;longtime,,54;main;aim;longtime,54;main;aim;longtime,7,6
n54,55;goal;many;justice,,55;goal;many;justice,55;goal;many;justice,5,4
n55,56;area;activity;wisdom,,56;area;activity;wisdom,56;area;activity;wisdom,7,7
n56,57;assessment;sociology;psychology,,57;assessment;sociology;psychology,57;assessment;sociology;psychology,7,6
n57,58;essential;informed;economy,,58;essential;informed;economy,58;essential;informed;economy,6,5
n58,59;way;unique;harmonious,,59;way;unique;harmonious,59;way;unique;harmonious,6,5
n59,60;number;together;brings,,60;number;together;brings,60;number;together;brings,3,2
n60,61;decade;last;tension,,61;decade;last;tension,61;decade;last;tension,4,3
n61,62;position;prominence;occupy,,62;position;prominence;occupy,62;position;prominence;occupy,5,4
n62,63;overcome;identity;contradiction,,63;overcome;identity;contradiction,63;overcome;identity;contradiction,4,3
n63,64;theoretical;level;stance,,64;theoretical;level;stance,64;theoretical;level;stance,7,6
n64,65;work;bauer;systematic,,65;work;bauer;systematic,65;work;bauer;systematic,4,3
n65,66;media;information;communicate,,66;media;information;communicate,66;media;information;communicate,5,4
n66,67;material;objective;unity,,67;material;objective;unity,67;material;objective;unity,6,5
n67,68;nature;fulfilled;man,,68;nature;fulfilled;man,68;nature;fulfilled;man,3,2
n68,69;behaviour;participation;active,,69;behaviour;participation;active,69;behaviour;participation;active,3,2
n69,70;german;core;speak,,70;german;core;speak,70;german;core;speak,4,3
n70,71;equal;roughly;somewhat,,71;equal;roughly;somewhat,71;equal;roughly;somewhat,4,3
n71,72;weakness;strength;unambiguously,,72;weakness;strength;unambiguously,72;weakness;strength;unambiguously,3,2
n72,73;seekers;exchanges;curious,,73;seekers;exchanges;curious,73;seekers;exchanges;curious,3,2
n73,74;continuous;quantity;static,,74;continuous;quantity;static,74;continuous;quantity;static,3,2
n74,75;throughout;back;antiquity,,75;throughout;back;antiquity,75;throughout;back;antiquity,4,3
n75,76;sort;preserve;NA,,76;sort;preserve;NA,76;sort;preserve;NA,2,1
